Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug  5 21:04:59 2023,-0.11,0.63,-0.86,-0.12,0.63,-0.87,-0.98,0.09,-0.4,-1.22,-0.009999999,-0.22,-0.88,0.23,-0.06,-0.98,0.16,-0.24,-0.94,0.09,-0.51,-1.02,0.13,-0.27,-1.98,2,-1.98,-0.21,-0.7,0.64,-0.05,-0.33,0.86,-0.04,-0.27,0.88,-0.03,-0.23,0.89,-0.04,-0.24,0.88
Sat Aug  5 21:05:35 2023,0.33,0.7,-0.74,0.35,0.7,-0.74,-1.06,0.38,-0.14,-1.06,0.17,-0.18,-0.86,0.15,-0.25,-1.51,0.51,1.12,-0.7,-0.66,-0.45,-0.55,-0.74,-0.26,-0.51,-0.8,-0.33,-0.53,-0.79,-0.37,-0.51,-0.8,-0.35,-0.51,-0.8,-0.35,-0.51,-0.8,-0.36,-0.53,-0.8,-0.35
Sat Aug  5 21:08:05 2023,0.18,0.83,-0.64,0.16,0.82,-0.67,-1.05,0.72,-0.24,-0.8,0.33,0.06,-0.99,0.15,-0.19,-1.1,0.05,-0.11,-0.95,0.26,-0.14,-1.02,0.2,-0.12,-1.27,0.26,-0.24,-0.87,0.15,0.04,-0.9700001,1.42,-1.93,-0.17,-0.63,0.79,0,-0.44,0.82,0,-0.42,0.82
Sat Aug  5 21:09:15 2023,0.11,0.65,-0.86,0.11,0.66,-0.86,-1,0.41,0.02,-1.02,0.25,-0.11,-0.86,0.25,-0.37,-1.19,0.29,-0.2,-1.98,-1.98,0.9700001,0.07,-1.29,0.19,-0.07,-0.77,0.51,-0.07,-0.7,0.64,-0.07,-0.69,0.63,-0.07,-0.7,0.64,-0.07,-0.69,0.64,-0.07,-0.68,0.65
Sat Aug  5 21:10:26 2023,-0.65,-0.18,-0.8,-0.65,-0.11,-0.91,-0.27,0.27,-1,-0.08,-0.65,-0.87,-0.54,0.03,-0.26,-0.9700001,0.17,-0.17,-0.93,0.06,-0.43,-0.68,0.05,-0.21,-0.79,0.1,-0.07,-0.62,0.35,-0.33,-0.83,-0.009999999,-1,-0.08,0.2,-1.07,-0.09,0.22,-1.08,-0.07,0.21,-1.06
Sat Aug  5 21:11:10 2023,-0.08,0.62,-0.87,-0.07,0.61,-0.88,-0.16,0.86,-0.93,-0.74,-0.12,0.02,-0.89,0.35,-0.38,-0.86,0.18,-0.29,-0.95,0.16,-0.11,-1.32,0.15,-0.24,-1.16,-0.55,0.68,-1.17,-0.38,-0.49,-0.82,-0.41,-0.4,-0.83,-0.4,-0.44,-0.81,-0.41,-0.43,-0.82,-0.41,-0.43
Sat Aug  5 21:14:08 2023,-0.98,0.35,-0.05,-1.28,-0.07,-0.16,-1.14,0.32,-0.28,-0.84,0.35,-0.12,-0.92,0,0.08,-0.93,0.009999999,0.11,-0.93,-0.03,0.16,-0.94,0.009999999,0.15,-0.74,0.41,-0.02,-0.37,0.73,-0.14,-0.06,0.9700001,-0.15,-0.17,1,-0.18,-0.19,0.9700001,-0.2,-0.25,0.95,-0.26
Sat Aug  5 21:15:24 2023,-0.85,-0.18,0.34,-0.85,-0.2,0.34,-0.84,-0.26,0.35,-0.9,0.09,-0.16,-1.04,-0.03,-0.4,-1.06,0.05,-0.23,-0.77,0.15,-0.33,-0.42,0.76,-0.18,0.16,-0.61,-1.31,-0.25,-0.08,-1.11,-0.22,-0.05,-1.07,-0.21,-0.03,-1.07,-0.19,-0.02,-1.07,-0.2,-0.009999999,-1.08
Sat Aug  5 21:15:55 2023,-0.77,-0.26,0.46,-0.77,-0.25,0.46,-1.01,0.23,-0.16,-1.09,0.27,-0.06,-0.86,-0.14,-0.13,-0.64,0.12,-0.18,-0.03,-0.07,-0.68,-0.11,0.3,-1.02,-0.09,0.28,-1.07,-0.08,0.29,-1.06,-0.07,0.27,-1.05,-0.07,0.29,-1.06,-0.07,0.28,-1.06,-0.08,0.27,-1.05
Sat Aug  5 21:17:15 2023,0.87,0.06,-0.64,0.88,0.04,-0.63,0.9,0.11,-0.68,-1.1,1.05,-0.46,-0.89,0.16,-0.12,-0.72,0.19,-0.28,-1.09,0.31,-0.19,-1.07,0.009999999,-0.03,-0.99,0.36,0.04,-0.68,0.72,-0.67,-0.71,-0.06,-0.79,-0.36,0.1,-1.01,-0.35,0.12,-1.01,-0.34,0.11,-1.02
